Geography,Date,Units,BodyType,Private male,Private female,Private unknown,Company,Between keepers,Total
England,2014 Q4 (end December),Thousands,Total,"15,437.30","9,008.60","1,306.70","4,456.60",0,"30,209.20"
England,2015 Q4 (end December),Thousands,Total,"15,707.70","9,178.60","1,356.40","4,651.10",0,"30,893.70"
England,2016 Q4 (end December),Thousands,Total,"16,070.90","9,413.10","1,398.20","4,880.80",0,"31,763.00"
England,2017 Q4 (end December),Thousands,Total,"16,219.30","9,571.40","1,400.20","4,962.30",0,"32,153.20"
England,2018 Q4 (end December),Thousands,Total,"16,394.00","9,724.10","1,391.70","5,020.30",0,"32,530.00"
England,2019 Q4 (end December),Thousands,Total,"16,623.90","9,907.60","1,382.90","5,027.30",0,"32,941.70"
England,2020 Q4 (end December),Thousands,Total,"16,698.20","9,981.70","1,340.10","4,885.80",0,"32,905.80"
England,2021 Q4 (end December),Thousands,Total,"16,834.00","10,057.60","1,304.80","5,018.20",0,"33,214.60"
England,2022 Q4 (end December),Thousands,Total,"16,932.50","10,135.50","1,290.60","5,218.90",0,"33,577.60"
England,2023 Q4 (end December),Thousands,Total,"17,018.50","10,229.20","1,288.00","5,433.00",0,"33,968.70"
England,2024 Q4 (end December),Thousands,Total,"17,169.40","10,337.90","1,276.00","5,585.90",0,"34,369.10"
England,2025 Q4 (end December),Thousands,Total,"17,371.00","10,470.80","1,264.80","5,786.00",0,"34,892.60"
Scotland,1994 Q4 (end December),Thousands,Buses and coaches,2.7,0.3,0.1,12.5,0,15.6
Scotland,1995 Q4 (end December),Thousands,Buses and coaches,2.5,0.3,0.1,12.5,0,15.4
Scotland,1996 Q4 (end December),Thousands,Buses and coaches,2.6,0.3,0.1,12.9,0,15.9
Scotland,1997 Q4 (end December),Thousands,Buses and coaches,2.7,0.3,0.1,13.3,0,16.4
Scotland,1998 Q4 (end December),Thousands,Buses and coaches,2.6,0.3,0.1,12.9,0,15.9
Scotland,1999 Q4 (end December),Thousands,Buses and coaches,2.8,0.3,0.2,13.2,0,16.5
Scotland,2000 Q4 (end December),Thousands,Buses and coaches,2.7,0.3,0.2,13.6,0,16.8
Scotland,2001 Q4 (end December),Thousands,Buses and coaches,2.7,0.3,0.2,13.7,0,16.8
Scotland,2002 Q4 (end December),Thousands,Buses and coaches,2.6,0.3,0.2,13.8,0,16.9
Scotland,2003 Q4 (end December),Thousands,Buses and coaches,2.6,0.3,0.2,14.1,0,17.1
Scotland,2004 Q4 (end December),Thousands,Buses and coaches,2.6,0.3,0.2,14.4,0,17.6
Scotland,2005 Q4 (end December),Thousands,Buses and coaches,2.6,0.3,0.2,14.8,0,17.8
Scotland,2006 Q4 (end December),Thousands,Buses and coaches,2.5,0.3,0.2,14.5,0,17.5
Scotland,2007 Q4 (end December),Thousands,Buses and coaches,2.5,0.3,0.2,14.6,0,17.5
Scotland,2008 Q4 (end December),Thousands,Buses and coaches,2.4,0.3,0.2,14.3,0,17.2
Scotland,2009 Q4 (end December),Thousands,Buses and coaches,2.4,0.3,0.2,13.8,0,16.7
Scotland,2010 Q4 (end December),Thousands,Buses and coaches,2.2,0.3,0.2,13.6,0,16.3
Scotland,2011 Q4 (end December),Thousands,Buses and coaches,2.1,0.3,0.2,13.4,0,15.9
Scotland,2012 Q4 (end December),Thousands,Buses and coaches,2,0.2,0.2,13.1,0,15.6
Scotland,2013 Q4 (end December),Thousands,Buses and coaches,1.9,0.2,0.2,12.9,0,15.3
Scotland,2014 Q4 (end December),Thousands,Buses and coaches,1.9,0.2,0.2,12.9,0,15.2
Scotland,2015 Q4 (end December),Thousands,Buses and coaches,1.9,0.2,0.2,12.7,0,15.1
Scotland,2016 Q4 (end December),Thousands,Buses and coaches,1.9,0.3,0.2,12.6,0,14.9
Scotland,2017 Q4 (end December),Thousands,Buses and coaches,1.9,0.3,0.2,12.4,0,14.7
Scotland,2018 Q4 (end December),Thousands,Buses and coaches,1.8,0.2,0.2,12.3,0,14.5
Scotland,2019 Q4 (end December),Thousands,Buses and coaches,1.8,0.3,0.2,12,0,14.2
Scotland,2020 Q4 (end December),Thousands,Buses and coaches,1.7,0.2,0.1,10.5,0,12.5
Scotland,2021 Q4 (end December),Thousands,Buses and coaches,1.8,0.3,0.1,10.9,0,13.1
Scotland,2022 Q4 (end December),Thousands,Buses and coaches,1.8,0.3,0.1,10.7,0,12.9
Scotland,2023 Q4 (end December),Thousands,Buses and coaches,1.7,0.3,0.1,10.6,0,12.6
Scotland,2024 Q4 (end December),Thousands,Buses and coaches,1.6,0.2,0.1,10.7,0,12.6
Scotland,2025 Q4 (end December),Thousands,Buses and coaches,1.5,0.2,0.1,10.9,0,12.8
Scotland,1994 Q4 (end December),Thousands,Cars,988.4,419.9,41.2,139.3,[low],"1,588.70"
Scotland,1995 Q4 (end December),Thousands,Cars,990,436.2,43.8,139.4,[low],"1,609.40"
Scotland,1996 Q4 (end December),Thousands,Cars,"1,017.70",465.4,48.6,146.5,[low],"1,678.30"
Scotland,1997 Q4 (end December),Thousands,Cars,"1,035.70",491,51.8,151.6,[low],"1,730.20"
Scotland,1998 Q4 (end December),Thousands,Cars,"1,051.60",512.7,54.9,158.9,[low],"1,778.00"
Scotland,1999 Q4 (end December),Thousands,Cars,"1,074.00",536.5,58.3,158.2,0,"1,826.90"
Scotland,2000 Q4 (end December),Thousands,Cars,"1,087.70",559.2,61.9,167.1,0,"1,876.00"
Scotland,2001 Q4 (end December),Thousands,Cars,"1,117.40",589.6,66.4,165.4,0,"1,938.80"
Scotland,2002 Q4 (end December),Thousands,Cars,"1,146.20",620.6,72.6,154.1,0,"1,993.50"
Scotland,2003 Q4 (end December),Thousands,Cars,"1,163.00",645.6,80.1,142.3,0,"2,031.00"
